name,img,product,place,description
Андрей Андрусов,/projects/co-map/assets/img/co-map/andrei.JPG,Замдиректора Центра Соль, Москва Россия,
Анастасия Варлыгина,/projects/co-map/assets/img/co-map/nastia.jpg,Сооснователь и директор по развитию компании «Простое дело», Москва Россия,
Дарья Лукошкова,/projects/co-map/assets/img/co-map/dasha.jpg,Амабассадор Co-Map, Курган Россия,
Михаил Миронов,/projects/co-map/assets/img/co-map/misha.jpg, Директор по развитию Impact Hub Moscow, Москва Россия,
Ольга Рехлясова,/projects/co-map/assets/img/co-map/olya.jpeg, Совет Попечителей AIESEC в России, Москва Россия,
Дмитрий Апатин,/projects/co-map/assets/img/co-map/dmitry-apatin.jpg, Фронтенд разработчик, Курган Россия,
Виктория Бакун,/projects/co-map/assets/img/co-map/viktoryia-bakun.jpeg, Фронтенд разработчик, Минск Беларусь,
Иван Казак,/projects/co-map/assets/img/co-map/ivan-kazak.jpg, Фронтенд разработчик, Минск Беларусь,
Кирилл Кондратьев,/projects/co-map/assets/img/co-map/kirill.jpg, Фронтенд разработчик, Сибирь Россия,
Никита Андрусов,/projects/co-map/assets/img/co-map/nikita.jpg, Фронтенд разработчик, Москва Россия,
Иван Филипчик,/projects/co-map/assets/img/co-map/vanya.jpg, Фронтенд разработчик, Минск Беларусь,
Ромиш Куватов,/projects/co-map/assets/img/co-map/romish-kuvatov.jpg, Фронтенд разработчик, Алматы Казахстан,
